Product ID,Batch Number,Manufacturing Date,Expiry Date,Current Stock,Sales Velocity (units/day),Days_Remaining,Stock_Cover_Days,Estimated_Sales,Estimated_Unsold_Quantity
HP011,B98931,2025-05-18,2026-05-18,4497,3.5,322,1284.857142857143,1127.0,3370.0
HP010,B71526,2024-02-03,2026-02-02,809,61.1,217,13.240589198036007,13258.7,0.0
HP006,B63888,2023-01-23,2024-01-23,1594,52.04,0,30.630284396617988,0.0,1594.0
HP003,B97794,2025-04-01,2026-04-01,3244,11.53,275,281.3529921942758,3170.75,73.25
HP003,B65544,2025-05-30,2027-05-30,2372,23.22,699,102.15331610680448,16230.779999999999,0.0
HP012,B70378,2023-10-25,2024-04-22,1678,47.43,0,35.37845245625132,0.0,1678.0
HP010,B84587,2025-06-17,2027-06-17,4446,55.23,717,80.49972840847366,39599.909999999996,0.0
HP006,B25615,2023-05-13,2024-11-03,3440,58.14,0,59.16752665978672,0.0,3440.0
HP007,B29910,2023-06-24,2024-12-15,4912,11.25,0,436.6222222222222,0.0,4912.0
HP007,B30914,2025-06-02,2026-06-02,4475,24.48,337,182.80228758169935,8249.76,0.0
HP005,B66926,2024-07-12,2026-07-12,3882,25.46,377,152.47446975648074,9598.42,0.0
HP008,B73285,2023-08-10,2025-08-09,3254,34.14,40,95.31341534856473,1365.6,1888.4
HP012,B88542,2025-01-01,2026-01-01,3450,21.31,185,161.8958235570155,3942.35,0.0
HP003,B66515,2024-07-28,2026-01-19,168,19.03,203,8.82816605359958,3863.09,0.0
HP010,B38622,2023-06-03,2025-06-02,2253,56.01,0,40.22495982860204,0.0,2253.0
HP010,B77115,2023-06-19,2025-06-18,3416,15.96,0,214.03508771929825,0.0,3416.0
HP003,B14354,2025-03-16,2026-03-16,3719,15.77,259,235.8275206087508,4084.43,0.0
HP003,B43388,2023-12-11,2024-12-10,4448,20.04,0,221.9560878243513,0.0,4448.0
HP012,B31034,2024-10-14,2025-04-12,287,36.51,0,7.860860038345659,0.0,287.0
HP001,B44930,2023-12-13,2024-06-10,213,43.32,0,4.916897506925208,0.0,213.0
HP012,B43334,2025-05-20,2025-11-16,2287,24.92,139,91.77367576243981,3463.88,0.0
HP012,B20381,2024-08-22,2025-08-22,3339,28.52,53,117.07573632538569,1511.56,1827.44
HP005,B92146,2024-01-04,2026-01-03,3893,27.3,187,142.60073260073258,5105.1,0.0
HP005,B48366,2025-03-19,2026-03-19,4638,69.86,262,66.38992270254795,18303.32,0.0
HP010,B73751,2025-04-06,2027-04-06,4690,21.06,645,222.69705603038938,13583.699999999999,0.0
HP004,B12247,2025-04-10,2026-10-02,4991,15.18,459,328.7878787878788,6967.62,0.0
HP012,B33567,2024-12-07,2025-06-05,4548,57.6,0,78.95833333333333,0.0,4548.0
HP003,B15539,2025-06-10,2026-12-02,2013,10.78,520,186.73469387755102,5605.599999999999,0.0
HP012,B97419,2024-10-27,2025-10-27,280,5.24,119,53.43511450381679,623.5600000000001,0.0
HP003,B23967,2025-04-19,2027-04-19,1485,48.74,658,30.467788264259333,32070.920000000002,0.0
HP002,B24665,2023-04-18,2024-10-09,1004,57.18,0,17.55858691850297,0.0,1004.0
HP012,B80733,2023-06-01,2024-05-31,2151,68.61,0,31.35111499781373,0.0,2151.0
HP004,B37515,2023-01-04,2024-01-04,2565,50.62,0,50.671671276175424,0.0,2565.0
HP012,B41562,2023-07-14,2024-01-10,3111,63.77,0,48.7846949976478,0.0,3111.0
HP010,B53171,2025-03-15,2026-03-15,2457,38.69,258,63.50478159731197,9982.019999999999,0.0
HP004,B23257,2024-04-07,2026-04-07,1479,39.0,281,37.92307692307692,10959.0,0.0
HP011,B78221,2024-09-27,2026-09-27,373,44.91,454,8.305499888666223,20389.14,0.0
HP003,B60729,2023-09-29,2024-09-28,280,37.17,0,7.532956685499058,0.0,280.0
HP004,B99664,2023-10-16,2025-04-08,3377,12.7,0,265.90551181102364,0.0,3377.0
HP001,B65592,2023-10-23,2024-04-20,214,39.85,0,5.370138017565872,0.0,214.0
HP011,B13525,2025-04-11,2026-04-11,371,51.55,285,7.196896217264792,14691.75,0.0
HP001,B61040,2025-01-03,2025-07-02,369,35.37,2,10.432569974554708,70.74,298.26
HP009,B42444,2024-04-03,2025-04-03,2842,41.09,0,69.16524701873935,0.0,2842.0
HP003,B27236,2024-09-08,2025-09-08,252,59.13,70,4.26179604261796,4139.1,0.0
HP006,B41791,2025-02-09,2027-02-09,2418,62.2,589,38.874598070739545,36635.8,0.0
HP009,B98610,2024-01-15,2025-01-14,1358,55.11,0,24.64162583923063,0.0,1358.0
HP012,B21131,2024-10-28,2025-04-26,179,56.58,0,3.163662071403323,0.0,179.0
HP005,B69540,2023-02-12,2024-02-12,268,17.56,0,15.261958997722097,0.0,268.0
HP010,B22802,2025-01-05,2026-06-29,3711,39.76,364,93.33501006036218,14472.64,0.0
HP010,B69160,2024-03-23,2025-09-14,643,49.99,76,12.8625725145029,3799.2400000000002,0.0
HP003,B99833,2024-09-16,2025-09-16,751,8.77,78,85.63283922462942,684.06,66.94000000000005
HP006,B91817,2024-12-20,2026-06-13,427,36.84,348,11.590662323561345,12820.320000000002,0.0
HP011,B45983,2023-09-19,2024-09-18,376,16.45,0,22.857142857142858,0.0,376.0
HP012,B41089,2025-06-15,2025-12-12,2049,39.83,165,51.44363545066533,6571.95,0.0
HP006,B71614,2023-04-25,2024-10-16,4235,39.96,0,105.98098098098097,0.0,4235.0
HP011,B51170,2023-11-13,2025-11-12,4828,53.96,135,89.47368421052632,7284.6,0.0
HP002,B89409,2024-09-15,2026-03-09,1682,52.51,252,32.03199390592268,13232.519999999999,0.0
HP012,B86400,2024-11-03,2025-11-03,1965,37.15,126,52.89367429340512,4680.9,0.0
HP005,B91858,2023-11-19,2025-05-12,3534,28.63,0,123.43695424380022,0.0,3534.0
HP006,B91760,2023-07-22,2024-07-21,513,52.54,0,9.763989341454131,0.0,513.0
HP001,B89492,2025-05-07,2025-11-03,4098,63.52,126,64.51511335012594,8003.52,0.0
HP012,B95969,2023-02-23,2023-08-22,284,48.58,0,5.846027171675587,0.0,284.0
HP012,B49312,2023-02-16,2023-08-15,2186,43.72,0,50.0,0.0,2186.0
HP006,B78531,2023-09-14,2025-03-07,3053,17.7,0,172.4858757062147,0.0,3053.0
HP007,B73703,2024-03-04,2025-08-26,2105,60.99,57,34.513854730283654,3476.4300000000003,0.0
HP011,B48893,2023-06-03,2024-06-02,4034,33.8,0,119.34911242603552,0.0,4034.0
HP007,B55955,2025-04-26,2027-04-26,892,2.56,665,348.4375,1702.4,0.0
HP006,B33980,2024-07-08,2025-07-08,3836,17.88,8,214.54138702460853,143.04,3692.96
HP004,B38841,2023-03-01,2025-02-28,1567,55.57,0,28.19866834622998,0.0,1567.0
HP012,B73852,2023-06-01,2023-11-28,4270,60.06,0,71.09557109557109,0.0,4270.0
HP001,B22269,2025-01-16,2026-01-16,91,30.17,200,3.0162412993039442,6034.0,0.0
HP007,B51180,2023-04-04,2024-09-25,4437,37.99,0,116.79389312977099,0.0,4437.0
HP002,B53571,2023-01-10,2025-01-09,1350,42.62,0,31.675269826372595,0.0,1350.0
HP008,B76566,2025-05-18,2026-05-18,4314,52.92,322,81.51927437641723,17040.24,0.0
HP007,B20850,2025-01-22,2027-01-22,2768,23.85,571,116.0587002096436,13618.35,0.0
HP012,B48307,2024-10-23,2025-10-23,1016,67.65,115,15.018477457501847,7779.750000000001,0.0
HP004,B69880,2023-11-01,2025-10-31,250,47.17,123,5.2999788000848,5801.91,0.0
HP001,B96844,2023-12-17,2024-12-16,3888,10.04,0,387.25099601593627,0.0,3888.0
