Product ID,Batch Number,Manufacturing Date,Expiry Date,Current Stock,Sales Velocity (units/day)
HP011,B98931,2025-05-18,2026-05-18,4497,3.5
HP010,B71526,2024-02-03,2026-02-02,809,61.1
HP006,B63888,2023-01-23,2024-01-23,1594,52.04
HP003,B97794,2025-04-01,2026-04-01,3244,11.53
HP003,B65544,2025-05-30,2027-05-30,2372,23.22
HP012,B70378,2023-10-25,2024-04-22,1678,47.43
HP010,B84587,2025-06-17,2027-06-17,4446,55.23
HP006,B25615,2023-05-13,2024-11-03,3440,58.14
HP007,B29910,2023-06-24,2024-12-15,4912,11.25
HP007,B30914,2025-06-02,2026-06-02,4475,24.48
HP005,B66926,2024-07-12,2026-07-12,3882,25.46
HP008,B73285,2023-08-10,2025-08-09,3254,34.14
HP012,B88542,2025-01-01,2026-01-01,3450,21.31
HP003,B66515,2024-07-28,2026-01-19,168,19.03
HP010,B38622,2023-06-03,2025-06-02,2253,56.01
HP010,B77115,2023-06-19,2025-06-18,3416,15.96
HP003,B14354,2025-03-16,2026-03-16,3719,15.77
HP003,B43388,2023-12-11,2024-12-10,4448,20.04
HP012,B31034,2024-10-14,2025-04-12,287,36.51
HP001,B44930,2023-12-13,2024-06-10,213,43.32
HP012,B43334,2025-05-20,2025-11-16,2287,24.92
HP012,B20381,2024-08-22,2025-08-22,3339,28.52
HP005,B92146,2024-01-04,2026-01-03,3893,27.3
HP005,B48366,2025-03-19,2026-03-19,4638,69.86
HP010,B73751,2025-04-06,2027-04-06,4690,21.06
HP004,B12247,2025-04-10,2026-10-02,4991,15.18
HP012,B33567,2024-12-07,2025-06-05,4548,57.6
HP003,B15539,2025-06-10,2026-12-02,2013,10.78
HP012,B97419,2024-10-27,2025-10-27,280,5.24
HP003,B23967,2025-04-19,2027-04-19,1485,48.74
HP002,B24665,2023-04-18,2024-10-09,1004,57.18
HP012,B80733,2023-06-01,2024-05-31,2151,68.61
HP004,B37515,2023-01-04,2024-01-04,2565,50.62
HP012,B41562,2023-07-14,2024-01-10,3111,63.77
HP010,B53171,2025-03-15,2026-03-15,2457,38.69
HP004,B23257,2024-04-07,2026-04-07,1479,39.0
HP011,B78221,2024-09-27,2026-09-27,373,44.91
HP003,B60729,2023-09-29,2024-09-28,280,37.17
HP004,B99664,2023-10-16,2025-04-08,3377,12.7
HP001,B65592,2023-10-23,2024-04-20,214,39.85
HP011,B13525,2025-04-11,2026-04-11,371,51.55
HP001,B61040,2025-01-03,2025-07-02,369,35.37
HP009,B42444,2024-04-03,2025-04-03,2842,41.09
HP003,B27236,2024-09-08,2025-09-08,252,59.13
HP006,B41791,2025-02-09,2027-02-09,2418,62.2
HP009,B98610,2024-01-15,2025-01-14,1358,55.11
HP012,B21131,2024-10-28,2025-04-26,179,56.58
HP005,B69540,2023-02-12,2024-02-12,268,17.56
HP010,B22802,2025-01-05,2026-06-29,3711,39.76
HP010,B69160,2024-03-23,2025-09-14,643,49.99
HP003,B99833,2024-09-16,2025-09-16,751,8.77
HP006,B91817,2024-12-20,2026-06-13,427,36.84
HP011,B45983,2023-09-19,2024-09-18,376,16.45
HP012,B41089,2025-06-15,2025-12-12,2049,39.83
HP006,B71614,2023-04-25,2024-10-16,4235,39.96
HP011,B51170,2023-11-13,2025-11-12,4828,53.96
HP002,B89409,2024-09-15,2026-03-09,1682,52.51
HP012,B86400,2024-11-03,2025-11-03,1965,37.15
HP005,B91858,2023-11-19,2025-05-12,3534,28.63
HP006,B91760,2023-07-22,2024-07-21,513,52.54
HP001,B89492,2025-05-07,2025-11-03,4098,63.52
HP012,B95969,2023-02-23,2023-08-22,284,48.58
HP012,B49312,2023-02-16,2023-08-15,2186,43.72
HP006,B78531,2023-09-14,2025-03-07,3053,17.7
HP007,B73703,2024-03-04,2025-08-26,2105,60.99
HP011,B48893,2023-06-03,2024-06-02,4034,33.8
HP007,B55955,2025-04-26,2027-04-26,892,2.56
HP006,B33980,2024-07-08,2025-07-08,3836,17.88
HP004,B38841,2023-03-01,2025-02-28,1567,55.57
HP012,B73852,2023-06-01,2023-11-28,4270,60.06
HP001,B22269,2025-01-16,2026-01-16,91,30.17
HP007,B51180,2023-04-04,2024-09-25,4437,37.99
HP002,B53571,2023-01-10,2025-01-09,1350,42.62
HP008,B76566,2025-05-18,2026-05-18,4314,52.92
HP007,B20850,2025-01-22,2027-01-22,2768,23.85
HP012,B48307,2024-10-23,2025-10-23,1016,67.65
HP004,B69880,2023-11-01,2025-10-31,250,47.17
HP001,B96844,2023-12-17,2024-12-16,3888,10.04
HP012,B58706,2023-03-06,2023-09-02,4968,14.53
HP004,B52098,2025-02-26,2027-02-26,4047,15.01
HP005,B84355,2024-12-14,2026-12-14,4008,25.15
HP008,B25754,2024-11-03,2025-11-03,1434,1.56
HP008,B99127,2023-06-03,2024-06-02,2076,6.8
HP010,B72816,2024-11-20,2026-05-14,3427,44.71
HP009,B55421,2023-02-22,2024-02-22,2693,51.32
HP008,B61963,2023-07-13,2024-07-12,2071,52.01
HP005,B59813,2023-12-13,2024-12-12,2781,45.27
HP008,B48116,2023-09-22,2025-03-15,2149,48.6
HP006,B51234,2023-11-11,2025-05-04,1861,67.15
HP010,B14411,2023-06-17,2024-06-16,1383,5.27
HP008,B43944,2023-06-10,2024-12-01,4836,22.02
HP003,B53516,2023-04-17,2024-04-16,4546,24.52
HP003,B37781,2023-03-05,2025-03-04,1944,5.04
HP007,B90571,2025-05-11,2026-11-02,2271,24.56
HP006,B13937,2024-12-06,2025-12-06,1159,52.93
HP007,B12653,2024-10-12,2026-04-05,4334,13.68
HP010,B33488,2023-07-12,2025-01-02,3289,1.65
HP004,B15175,2025-06-05,2027-06-05,3227,67.57
HP012,B19314,2024-04-30,2025-04-30,2840,19.66
HP002,B19214,2025-04-02,2027-04-02,2706,9.76
HP005,B99008,2023-10-13,2025-10-12,3861,6.95
HP012,B13504,2025-05-17,2026-05-17,1826,16.1
HP004,B92650,2023-02-10,2025-02-09,1187,6.15
HP001,B22876,2025-05-24,2025-11-20,2449,53.28
HP002,B61561,2024-11-21,2026-11-21,1873,64.72
HP008,B26498,2024-07-01,2025-07-01,1153,19.97
HP011,B41535,2023-04-24,2024-04-23,2050,25.28
HP007,B63712,2023-12-19,2025-06-11,4504,3.26
HP003,B37171,2023-01-27,2025-01-26,1046,31.58
HP004,B86824,2024-01-09,2025-07-02,2494,26.32
HP007,B24366,2023-11-19,2025-11-18,593,2.13
HP010,B88604,2024-12-25,2025-12-25,634,19.74
HP011,B87786,2024-02-24,2025-08-17,1320,62.63
HP007,B57285,2023-11-16,2024-11-15,362,68.95
HP008,B72084,2024-04-04,2026-04-04,2326,46.05
HP005,B99047,2025-03-24,2026-03-24,352,54.1
HP004,B20086,2023-11-09,2025-05-02,3957,45.57
HP002,B89773,2023-08-24,2025-08-23,722,67.5
HP004,B67870,2025-01-04,2026-06-28,2130,68.19
HP009,B34643,2024-08-24,2025-08-24,4550,39.55
HP005,B18225,2024-08-11,2026-08-11,950,18.25
HP006,B86796,2024-09-04,2025-09-04,335,29.38
HP006,B79072,2024-02-02,2026-02-01,950,33.89
HP006,B56930,2025-05-27,2026-11-18,2699,59.54
HP001,B38476,2023-12-11,2024-12-10,2980,48.63
HP006,B91306,2024-09-17,2025-09-17,637,37.26
HP001,B80178,2025-04-18,2026-04-18,2227,36.09
HP002,B52493,2024-08-01,2026-01-23,2692,49.81
HP008,B38571,2024-06-03,2026-06-03,2906,63.44
HP008,B74003,2023-06-02,2024-06-01,544,15.29
HP008,B83905,2024-01-22,2026-01-21,736,62.48
HP005,B86151,2024-10-28,2026-04-21,4695,29.29
HP004,B79931,2024-01-09,2025-01-08,1544,37.73
HP005,B82562,2023-08-08,2025-08-07,3259,37.72
HP009,B45898,2023-12-29,2024-12-28,581,59.4
HP012,B94112,2025-02-07,2025-08-06,3568,18.17
HP011,B23523,2023-10-27,2025-10-26,4340,48.28
HP007,B53513,2023-02-20,2025-02-19,1595,41.07
HP004,B23968,2024-03-17,2026-03-17,2985,24.75
HP002,B58792,2023-07-31,2025-07-30,815,6.16
HP002,B88025,2024-09-22,2025-09-22,4212,54.89
HP006,B37815,2024-12-20,2026-12-20,867,17.63
HP004,B52053,2024-10-16,2026-04-09,2365,6.12
HP001,B60488,2023-06-10,2023-12-07,2523,33.95
HP001,B61064,2024-04-05,2024-10-02,1571,19.96
HP010,B27165,2023-09-08,2025-03-01,1869,34.02
HP005,B26176,2023-03-28,2024-09-18,2898,21.93
HP002,B60855,2025-03-18,2026-03-18,365,36.79
HP006,B42700,2023-01-09,2024-01-09,562,33.72
HP005,B10996,2024-05-23,2025-11-14,420,48.51
HP011,B56745,2024-07-17,2025-07-17,3449,27.03
HP009,B35078,2025-04-09,2026-04-09,2217,43.58
HP009,B68625,2024-03-18,2024-09-14,908,43.95
HP005,B54188,2024-08-12,2026-02-03,1351,28.12
HP003,B89945,2024-02-20,2025-02-19,3494,67.12
HP009,B37118,2023-02-09,2023-08-08,3909,69.27
HP001,B45753,2024-06-05,2024-12-02,3090,11.84
HP003,B79901,2025-05-21,2026-11-12,3215,55.63
HP002,B56562,2024-02-04,2025-02-03,2190,8.39
HP011,B28392,2025-01-28,2026-01-28,2287,57.16
HP009,B37816,2024-12-22,2025-06-20,4301,39.72
HP009,B67749,2024-02-11,2024-08-09,4188,36.52
HP008,B79072,2024-10-30,2026-10-30,4078,13.57
HP003,B82497,2023-11-19,2025-11-18,2250,40.82
HP001,B78126,2023-11-20,2024-11-19,3621,48.58
HP002,B11260,2024-02-20,2026-02-19,4669,49.75
HP004,B12225,2024-10-15,2025-10-15,1639,45.55
HP006,B70326,2023-01-31,2025-01-30,695,50.06
HP008,B79736,2023-08-04,2024-08-03,4188,30.05
HP008,B68183,2023-10-23,2025-10-22,1354,11.51
HP011,B38074,2025-01-27,2027-01-27,4701,41.94
HP010,B95913,2024-11-26,2025-11-26,383,8.29
HP004,B98894,2023-09-16,2025-03-09,4614,26.55
HP006,B20953,2023-02-26,2024-08-19,388,23.8
HP012,B95536,2023-10-26,2024-10-25,1923,49.19
HP011,B18650,2024-03-14,2025-03-14,3891,6.3
HP002,B94073,2023-05-15,2025-05-14,3645,54.37
